,layer_idx,func,ISFTC_L1norm s0 mean,ISFTC_L1 s0 stdv,I s1 mean,I s1 stdv,S s2 mean,S s2 stdv,F sla mean,F sla stdv,T ine mean,T ine stdv,C mul mean,C mul stdv,ISFTC_L1norm rus_allseeds mean,ISFTC_L1norm rus_allseeds stdv,I rus_allseeds mean,I rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,F rus_allseeds mean,F rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.7151456663456665,0.019121196065755696,0.5659178479178479,0.02441676429043899,0.49909694869694865,0.02541165402003206,0.3423548115548115,0.026798754074244126,0.8344546888546889,0.01545987465513286,0.7837454425454425,0.015333047173679299,0.6044735587402259,0.13181099014945483,0.6044735587402259,0.13181099014945483,0.6044735587402259,0.13181099014945483,0.6044735587402259,0.13181099014945483,0.6044735587402259,0.13181099014945483,0.6044735587402259,0.13181099014945483
1,2,cosine,0.6978528930528931,0.01609706118379951,0.5340086424086424,0.035297057076647285,0.5741081705081704,0.016948519558304558,0.6403293979293979,0.013042728270893054,0.9267098451098452,0.006826532652270494,0.7059339771339771,0.021757151225517926,0.6086762510762512,0.10071955617832483,0.6086762510762512,0.10071955617832483,0.6086762510762512,0.10071955617832483,0.6086762510762512,0.10071955617832483,0.6086762510762512,0.10071955617832483,0.6086762510762512,0.10071955617832483
2,3,cosine,0.7691411267411267,0.01472892747245425,0.3461915453915454,0.035673175354548926,0.6319407271407271,0.013288847658220108,0.6058797394797395,0.012933693671930938,0.6458813990813991,0.031485144801518275,0.7964089892089892,0.01717318715915045,0.6370143050809716,0.13781109975733788,0.6370143050809716,0.13781109975733788,0.6370143050809716,0.13781109975733788,0.6370143050809716,0.13781109975733788,0.6370143050809716,0.13781109975733788,0.6370143050809716,0.13781109975733788
3,4,cosine,0.7149702741702741,0.01726560326378702,0.31308281988281983,0.03139661074495605,0.6408711948711947,0.012688596922422532,0.629589775989776,0.015728205226003402,0.7108836220836221,0.0186774901610924,0.8157730869730869,0.017107132380099883,0.5706097838764504,0.15302149049632052,0.5706097838764504,0.15302149049632052,0.5706097838764504,0.15302149049632052,0.5706097838764504,0.15302149049632052,0.5706097838764504,0.15302149049632052,0.5706097838764504,0.15302149049632052
4,5,cosine,0.6775521211521212,0.01622660409385165,0.3525211245211246,0.018804631988808256,0.5930301518301518,0.01561830460014683,0.6730964890964891,0.016398329642595248,0.632127128127128,0.022012487556995017,0.7174417666417666,0.017898207102048206,0.5693155766489096,0.19621601689199733,0.5693155766489096,0.19621601689199733,0.5693155766489096,0.19621601689199733,0.5693155766489096,0.19621601689199733,0.5693155766489096,0.19621601689199733,0.5693155766489096,0.19621601689199733
5,6,cosine,0.6495068727068727,0.014902553698522347,0.35802037722037716,0.028431333991724532,0.5111807459807459,0.021520507154813802,0.5452113028113027,0.025149826845665198,0.09014947574947574,0.02715705767832155,0.35857914697914695,0.026795395632810838,0.4570103702770368,0.17350954151419876,0.4570103702770368,0.17350954151419876,0.4570103702770368,0.17350954151419876,0.4570103702770368,0.17350954151419876,0.4570103702770368,0.17350954151419876,0.4570103702770368,0.17350954151419876
6,1,l2,0.7654265062265063,0.014786684813085961,0.7385664497664498,0.016456421663682906,0.6607050691050691,0.014449356825327357,0.7763906795906795,0.01997270864213975,0.9470451038451039,0.006169908085418134,0.8463176127176129,0.013073523735206987,0.7258992540325871,0.047717173262209193,0.7258992540325871,0.047717173262209193,0.7258992540325871,0.047717173262209193,0.7258992540325871,0.047717173262209193,0.7258992540325871,0.047717173262209193,0.7258992540325871,0.047717173262209193
7,2,l2,0.7743749187749188,0.014598579339777202,0.744477544077544,0.014315365901600357,0.669730866130866,0.015098178771250073,0.7944994824994825,0.02014718991787007,0.9490220902220903,0.006071039828751803,0.8369025869025869,0.013166470258545093,0.7335444646111311,0.04602232968424227,0.7335444646111311,0.04602232968424227,0.7335444646111311,0.04602232968424227,0.7335444646111311,0.04602232968424227,0.7335444646111311,0.04602232968424227,0.7335444646111311,0.04602232968424227
8,3,l2,0.7753436185436186,0.014409983718135011,0.7508424164424163,0.013409645365166043,0.6699302775302776,0.015053709681794095,0.27385462585462583,0.03704464610988507,0.9296569268569268,0.008104717593076962,0.8601715413715414,0.012616439630470447,0.727402127535461,0.05512281365850282,0.727402127535461,0.05512281365850282,0.727402127535461,0.05512281365850282,0.727402127535461,0.05512281365850282,0.727402127535461,0.05512281365850282,0.727402127535461,0.05512281365850282
9,4,l2,0.7673100221100222,0.014228381393801287,0.7460406104406104,0.014008156499514078,0.6471791835791837,0.013976870718114433,0.4657952977952978,0.02345664528141656,0.9262200526200527,0.008100454893589792,0.4893677505677506,0.021097189612795088,0.6852519975186645,0.06866622978261538,0.6852519975186645,0.06866622978261538,0.6852519975186645,0.06866622978261538,0.6852519975186645,0.06866622978261538,0.6852519975186645,0.06866622978261538,0.6852519975186645,0.06866622978261538
10,5,l2,0.7336572544572545,0.017502462683510685,0.6237547761547761,0.021316042669830487,0.569644778044778,0.019167981220425352,0.7011763923763923,0.021034178419384958,0.6357727545727546,0.043686066816035304,0.6671409407409407,0.028322274051391965,0.541872931606265,0.15607135321248145,0.541872931606265,0.15607135321248145,0.541872931606265,0.15607135321248145,0.541872931606265,0.15607135321248145,0.541872931606265,0.15607135321248145,0.541872931606265,0.15607135321248145
11,6,l2,0.42998937998938,0.023797881317569266,0.4473094425094425,0.020280028813759718,0.5258026958026958,0.015524561074326072,0.30877314037314035,0.026401608096530572,0.532114748914749,0.027774169274455005,0.5470677490677491,0.022517273814053176,0.44024532097865426,0.045977686197014964,0.44024532097865426,0.045977686197014964,0.44024532097865426,0.045977686197014964,0.44024532097865426,0.045977686197014964,0.44024532097865426,0.045977686197014964,0.44024532097865426,0.045977686197014964
12,1,norm_ratio,0.6528040692040692,0.026193491815599032,0.7448038796038796,0.0173399145469293,0.5282580758580758,0.02567084095735342,0.6499848187848188,0.02428293844833479,0.591741370941371,0.027502705641921206,0.715662502062502,0.01512014637922403,0.5767527939527943,0.12477447873756863,0.5767527939527943,0.12477447873756863,0.5767527939527943,0.12477447873756863,0.5767527939527943,0.12477447873756863,0.5767527939527943,0.12477447873756863,0.5767527939527943,0.12477447873756863
13,2,norm_ratio,0.7569082221082221,0.021796801764781586,0.7794149706149706,0.01713680174280035,0.6196976344976345,0.017997427802105753,0.7351415935415935,0.01060611948350868,0.9219056715056715,0.006665431853996033,0.7350492066492067,0.0151583267740318,0.6684846134846135,0.06574638586560246,0.6684846134846135,0.06574638586560246,0.6684846134846135,0.06574638586560246,0.6684846134846135,0.06574638586560246,0.6684846134846135,0.06574638586560246,0.6684846134846135,0.06574638586560246
14,3,norm_ratio,0.7651022935022935,0.021063374250165048,0.6074588246588246,0.024868854629241786,0.5787630795630795,0.022974715724573654,0.7014202518202518,0.01100254000484023,0.9014508314508314,0.002215313190021706,0.7894253050253052,0.014443177007781261,0.6698423941757278,0.0861723760676694,0.6698423941757278,0.0861723760676694,0.6698423941757278,0.0861723760676694,0.6698423941757278,0.0861723760676694,0.6698423941757278,0.0861723760676694,0.6698423941757278,0.0861723760676694
15,4,norm_ratio,0.6538377058377058,0.026585135029671723,0.1632150084150084,0.0399195023756349,0.49734688734688737,0.02851791494690054,0.6828652752652753,0.012018751935089993,0.8808990156990155,0.005349687954297552,0.8257226593226594,0.013348868789385081,0.5620957288957289,0.17484320597628375,0.5620957288957289,0.17484320597628375,0.5620957288957289,0.17484320597628375,0.5620957288957289,0.17484320597628375,0.5620957288957289,0.17484320597628375,0.5620957288957289,0.17484320597628375
16,5,norm_ratio,0.6971042399042399,0.0231307956270806,0.5379857175857177,0.027847595205623753,0.5404579228579229,0.02825191729079143,0.6581998097998097,0.011570530504098932,0.8772771708771708,0.005284405408346988,0.8099655419655418,0.013960208282034049,0.6094588835922169,0.17140990419593416,0.6094588835922169,0.17140990419593416,0.6094588835922169,0.17140990419593416,0.6094588835922169,0.17140990419593416,0.6094588835922169,0.17140990419593416,0.6094588835922169,0.17140990419593416
17,6,norm_ratio,0.7203680823680825,0.022290680683169486,0.645829835029835,0.016375372777845804,0.38827497187497195,0.02861192984177477,-0.036780492780492786,0.04777139991541259,0.7691771951771952,0.018043173271786915,0.608224153024153,0.019849878630604476,0.5678802050135383,0.14854657693772433,0.5678802050135383,0.14854657693772433,0.5678802050135383,0.14854657693772433,0.5678802050135383,0.14854657693772433,0.5678802050135383,0.14854657693772433,0.5678802050135383,0.14854657693772433
18,1,spim,0.6435578091578092,0.03002382887007419,0.7387867183867184,0.026111453056836525,0.5210981282981282,0.026676204430367154,0.5898514758514759,0.030728809002992696,0.872720921120921,0.007752294739564587,0.7593943221943222,0.013647298337349694,0.6105172359172358,0.14763474939852858,0.6105172359172358,0.14763474939852858,0.6105172359172358,0.14763474939852858,0.6105172359172358,0.14763474939852858,0.6105172359172358,0.14763474939852858,0.6105172359172358,0.14763474939852858
19,2,spim,0.7277272925272925,0.027761521411866507,0.79520612000612,0.021297241212968596,0.5017985137985138,0.02744802288788554,0.681820169020169,0.018605769968485907,0.9255950475950477,0.005467889164277029,0.6003687579687579,0.02128823141521375,0.6216438004438004,0.11993417295800753,0.6216438004438004,0.11993417295800753,0.6216438004438004,0.11993417295800753,0.6216438004438004,0.11993417295800753,0.6216438004438004,0.11993417295800753,0.6216438004438004,0.11993417295800753
20,3,spim,0.7604425532425533,0.025239500396889977,0.6447430719430719,0.024813446511696313,0.6279258063258063,0.02677406027956186,0.6503358935358935,0.020619725609766732,0.7591536787536788,0.020613249502785893,0.7268675720675721,0.016113785896792188,0.6820445856445857,0.07065282097626749,0.6820445856445857,0.07065282097626749,0.6820445856445857,0.07065282097626749,0.6820445856445857,0.07065282097626749,0.6820445856445857,0.07065282097626749,0.6820445856445857,0.07065282097626749
21,4,spim,0.7169481233481233,0.02310288618963199,0.2270052074052074,0.04334991317175897,0.6410141990141991,0.02513855065469612,0.6448063264063264,0.02118728527974293,0.7469207273207275,0.014523470391065586,0.7760264168264169,0.015324866322690403,0.587704125170792,0.1568576317307727,0.587704125170792,0.1568576317307727,0.587704125170792,0.1568576317307727,0.587704125170792,0.1568576317307727,0.587704125170792,0.1568576317307727,0.587704125170792,0.1568576317307727
22,5,spim,0.6288278712278712,0.021198482653053404,0.2938503358503358,0.029502796055070304,0.5659197523197523,0.03219311040850215,0.6861283149283149,0.018299494307867627,0.5780744996744996,0.02050169724053501,0.7257513141513142,0.015117083193080525,0.5048764578764581,0.21969245767803858,0.5048764578764581,0.21969245767803858,0.5048764578764581,0.21969245767803858,0.5048764578764581,0.21969245767803858,0.5048764578764581,0.21969245767803858,0.5048764578764581,0.21969245767803858
23,6,spim,0.5357985017985017,0.026784796572375636,0.1977443721443721,0.018496650064057398,0.44245550845550846,0.04089643267917781,0.40166631566631567,0.02707067775433958,0.3997049305049305,0.024289959907407035,0.49077075357075356,0.021013849295428426,0.3991528277528278,0.1879539714725402,0.3991528277528278,0.1879539714725402,0.3991528277528278,0.1879539714725402,0.3991528277528278,0.1879539714725402,0.3991528277528278,0.1879539714725402,0.3991528277528278,0.1879539714725402
